title,dish in native language,country of origin,creator(s),contributor(s),description,alt-text,subject,allergen and nutrition information,diet,substitutions,objectid,filename,format,file size,date,rights,rightsstatement
Andes Mint Cookies,,,"Ridnour-Nollsch, Grace","Lichty, Maria",Photo of handwritten recipe for Andes Mint Cookies.,"Photo of handwritten recipe for Andes Mint Cookies with text: hyphens used as bullet points. Ingredients: - 2 cups flour - 2/3 cups cocoa powder - 1 tsp. baking soda - 1/2 tsp. salt - 3/4 cup butter - 3/4 cup br. sugar, wh. sugar - 2 eggs - 2 tsp. vanilla - 36 andes mints. Directions: - preheat oven 176 degrees Celsius (350 degrees Celsius [Fahrenheit]) - make dough - bake 8-10 min. (soft in center) - press andes mint in middle and spread with knife.",cocoa powder; baking soda; salt; butter; brown sugar; white sugar; eggs; vanilla; andes mints,wheat; milk; eggs,vegetarian,,irc-001,andesmintcookies.jpg,image/jpeg,835 KB,2021,No Copyright in U.S.A.,http://rightsstatements.org/vocab/NoC-US/1.0/
Apple Snack Cake,,,"Ridnour-Nollsch, Grace","Schneider, Laura",Photo of handwritten recipe for Apple Snack Cake with a small illustration of an apple.,"Photo of handwritten recipe for Apple Snack Cake with text. Hyphens used as bullet points. Ingredients: - 113 grams (1/2 cup) butter - 200 grams (1 cup) sugar - 1 egg - 1 tsp. baking powder - 1/2 tsp. cinnamon - 250 grams (2 cups) apples - 125 grams (1 cup) flour. Icing: - water + powdered sugar. Directions: - Preheat oven to 176 degrees Celcius - 350 degrees Fahrenheit - combine butter + sugar - add baking powder - cinnamon - egg, add apples, add flour + extra pinch of cinnamon + sugar - bake 40-45 min. ",butter; sugar; eggs; baking powder; cinnamon; apples; flour; water; powdered sugar,wheat; milk; eggs,vegetarian; can be made dairy free,replace butter with dairy free alternative,irc-002,applesnackcake.jpg,image/jpeg,810 KB,2023-07,No Copyright in U.S.A.,http://rightsstatements.org/vocab/NoC-US/1.0/
Blueberry Muffins,,,"Ridnour-Nollsch, Grace",Colleen,Photo of handwritten recipe for Blueberry Muffins with blue background.,"Photo of handwritten recipe for Blueberry Muffins with text. Hyphens used as bullet points. Ingredients: - 1 1/2 cups flour - 3/4 cup white sugar - 1/2 tsp. salt - 2 tsp. baking powder - 1/3 [cup] vegetable oil - 1 egg - 1/3 cup milk - 1 cup blueberries. Directions: - preheat oven to 200 degrees Celsius (400 degrees Fahrenheit) - combine dry ingredients in bowl - combine oil and egg, then add enough milk to reach 1 cup mark - combine and mix all ingredients - fold in blueberries then ladle greased muffin tin - bake about 20 min.",flour; white sugar; salt; baking powder; vegetable oil; eggs; milk; blueberries,wheat; eggs,vegetarian; dairy free,,irc-003,blueberrymuffins.jpg,image/jpeg,1.3 MB,2019,No Copyright in U.S.A.,http://rightsstatements.org/vocab/NoC-US/1.0/
Chinese Tomato Egg Stir Fry,jia chang cai,China,"Ridnour-Nollsch, Grace","Ms. Shi",Photo of handwritten recipe for Chinese Tomato Egg Stir Fry.,"Photo of handwritten recipe for Chinese Tomato Egg Stir Fry with text. Hyphens used as bullet points. Ingredients: - tomatoes - eggs - oil - green onion - gralic - salt - soy sauce - sugar. Directions: - mix eggs with some salt - heat oil in wok - pour eggs in wok, briefly scramble - take eggs out - add oil, garlic, green onions - add tomatoes - add sauce - add eggs back in and scramble. ",tomatoes; eggs; oil; green onions; garlic; salt; soy sauce; sugar,eggs; soy,vegetarian; dairy free,,irc-004,chinesetomatoeggstirfry.jpg,image/jpeg,733 KB,2024,No Copyright in U.S.A.,http://rightsstatements.org/vocab/NoC-US/1.0/
Chocolate Chip Banana Bread,,,"Ridnour-Nollsch, Grace",Tasty.co,Photo of a handwritten recipe for Chocolate Chip Banana Bread.,Photo of handwritten recipe for Chocolate Chip Banana Bread with text. Hyphens used as bullet points. Ingredients: 3 ripe bananas - 75 grams melted butter - 100 grams sugar - 1 egg (beaten) - 1 tsp. vanilla - 1 tsp. baking soda - salt - 185 grams flour - 85 grams chocolate chips. Directions: - preheat oven to 180 degrees Celsius - mix all ingredients - bake 50 min.,bananas; butter; sugar; eggs; vanilla; baking soda; salt; flour; chocolate chips,wheat; milk; eggs,vegetarian; can be made dairy free,replace milk with dairy free alternative; replace butter with dairy free alternative,irc-005,chocolatechipbananabread.jpg,image/jpeg,578 KB,2018,No Copyright in U.S.A.,http://rightsstatements.org/vocab/NoC-US/1.0/
Korean Chicken Stir Fry,닭갈비,South Korea,"Ridnour-Nollsch, Grace",Maangchi,Photo of handwritten recipe for Dakgalbi.,"Photo of handwritten recipe for Korean Chicken Stir Fry with text. Hyphens used as bullet points. Chicken Marinade: - 1 lb. chicken - 2 tbsp. milk - 1 tbsp. soy sauce - 1/4 tsp. pepper. Seasoning Sauce: - 12 garlic cloves - 1 tsp. ginger - 2 tbsp. soy sauce - 1/2 cup water - 1/3 cup gochugaru - 2 tbsp. rice syrup (sugar) - 1/2 tsp. ground pepper. Veggie/Rice Cakes: - 1 cup rice cakes, soaked in cold water - 8 oz. cabbage - large onion - carrot - green chili pepper - 1/2 cup water - ramen noodles (optional) - potatoes (optional). Directions: - soak rice cakes - marinate chicken - prepare veggies and sauce - lay cabbage on bottom - put veggies, meat, sauce, etc. and 1/2 cup water. ",chicken; milk; soy sauce; pepper; garlic; ginger; water; gochu-garu; rice syrup; ground pepper; rice cakes; cabbage; onion; carrot; green chili pepper; ramen noodles (optional); potatoes (optional); cheese (optional),wheat; soy; milk,can be made dairy free,replace milk with dairy free alternative,irc-006,dakgalbi.jpg,image/jpeg,849 KB,2021,No Copyright in U.S.A.,http://rightsstatements.org/vocab/NoC-US/1.0/
Enchilada Sauce,,,"Ridnour-Nollsch, Grace","Taylor, Kathryne",Photo of handwritten recipe for Enchilada Sauce.,"Photo of handwritten recipe for Enchilada sauce with text. Hyphens used as bullet points. - 3 tbsp. olive oil - 3 tbsp. flour - 1 tbsp. chili powder - 1 tsp. garlic - 1/4 tsp. oregano - salt - cinnamon - 2 tblsp tomato paste - 2 cups broth - 1 tsp. vinegar - black pepper. - combine all dry ingredients in a cup - in a large pan, heat oil - pour in flour and spice mix - add tomato paste - slowly add broth while stirring - remove from heat add salt, pepper, and vinegar.",olive oil; flour; chili powder; cumin; garlic; oregano; salt; cinnamon; tomato paste; broth; vinegar; black pepper,wheat,vegan; dairy free,,irc-007,enchiladasauce.jpg,image/jpeg,875 KB,2018,No Copyright in U.S.A.,http://rightsstatements.org/vocab/NoC-US/1.0/
Guacamole Regio,Guacamole Regio,,"Ridnour-Nollsch, Grace","Dueñas, Mich",Photo of handwritten recipe for Guacamole Regio,"Photo of handwritten recipe for Guacamole Regio with text. Hyphens used as bullet points. Ingredients: - avocado - tomato - onion - limes - cilantro - chicharrón ( fried pork belly) * not the puffy crispy kind! Directions: - scoop out the avocado - add sliced tomato, onion, cilantro, and chicharrón - add lime juice and salt to taste. ",avocado; tomato; onion; limes; cilantro; fried pork belly; salt,,dairy free,,irc-008,guacamoleregio.jpg,image/jpeg,562 KB,2023,No Copyright in U.S.A.,http://rightsstatements.org/vocab/NoC-US/1.0/
Kimchi Pancake,김치전,South Korea,"Ridnour-Nollsch, Grace",Maangchi,Photo of handwritten recipe for Kimchi Pancake,"Photo of handwritten recipe for Kimchi Pancake with text. Hyphens used as bullet points. Ingredients: - 226 grams kimchi - 2 tbs. brine - 3 scallions, onion - 1/2 tsp. sugar - 62 grams flour - 58 oz. water - oil. Directions: - mix ingredients together - heat pan and add oil - fry until crispy. ",kimchi; brine; scallions; onion; sugar; flour; water; oil,wheat,vegan; dairy free,,irc-009,kimchipancake.jpg,image/jpeg,571 KB,2021,No Copyright in U.S.A.,http://rightsstatements.org/vocab/NoC-US/1.0/
Turkish Tomato Egg Scramble,Menemen,Turkey,"Ridnour-Nollsch, Grace",Gimme Some Oven,Photo of handwritten recipe for Menemen. There is a small illustration of  the finished dish in the bottom righthand corner. ,"Photo of handwritten recipe for Menemen with text. Hyphens used as bullet points. Ingredients: - 1 tbsp. olive oil - 1 small white onion - 1 large bell pepper - 15 oz. diced tomato - 1 tbsp. butter - 1 tsp. pepper - salt - 3 -4 eggs. Directions: - sautee veggies - add tomatoes, butter, salt and pepper - add eggs and scramble",olive oil; white onion; bell pepper; tomato; butter; pepper; salt; eggs,eggs; milk,can be made dairy free,replace butter with extra olive oil or dairy free alternative,irc-010,menemen.jpg,image/jpeg,826 KB,2020,No Copyright in U.S.A.,http://rightsstatements.org/vocab/NoC-US/1.0/
